lat,lng
25.0,-125.0
25.0,-124.73
25.0,-124.46
25.0,-124.19
25.0,-123.92
25.0,-123.65
25.0,-123.38
25.0,-123.11
25.0,-122.84
25.0,-122.57
25.0,-122.3
25.0,-122.03
25.0,-121.76
25.0,-121.49
25.0,-121.22
25.0,-120.95
25.0,-120.68
25.0,-120.41
25.0,-120.14
25.0,-119.87
25.0,-119.6
25.0,-119.33
25.0,-119.06
25.0,-118.79
25.0,-118.52
25.0,-118.25
25.0,-117.98
25.0,-117.71
25.0,-117.44
25.0,-117.17
25.0,-116.9
25.0,-116.63
25.0,-116.36
25.0,-116.09
25.0,-115.82
25.0,-115.55
25.0,-115.28
25.0,-115.01
25.0,-114.74
25.0,-114.47
25.0,-114.2
25.0,-113.93
25.0,-113.66
25.0,-113.39
25.0,-113.12
25.0,-112.85
25.0,-112.58
25.0,-112.31
25.0,-112.04
25.0,-111.77
25.0,-111.5
25.0,-111.23
25.0,-110.96
25.0,-110.69
25.0,-110.42
25.0,-110.15
25.0,-109.88
25.0,-109.61
25.0,-109.34
25.0,-109.07
25.0,-108.8
25.0,-108.53
25.0,-108.26
25.0,-107.99
25.0,-107.72
25.0,-107.45
25.0,-107.18
25.0,-106.91
25.0,-106.64
25.0,-106.37
25.0,-106.1
25.0,-105.83
25.0,-105.56
25.0,-105.29
25.0,-105.02
25.0,-104.75
25.0,-104.48
25.0,-104.21
25.0,-103.94
25.0,-103.67
25.0,-103.4
25.0,-103.13
25.0,-102.86
25.0,-102.59
25.0,-102.32
25.0,-102.05
25.0,-101.78
25.0,-101.51
25.0,-101.24
25.0,-100.97
25.0,-100.7
25.0,-100.43
25.0,-100.16
25.0,-99.89
25.0,-99.62
25.0,-99.35
25.0,-99.08
25.0,-98.81
25.0,-98.54
25.0,-98.27
25.0,-98.0
25.0,-97.73
25.0,-97.46
25.0,-97.19
25.0,-96.92
25.0,-96.65
25.0,-96.38
25.0,-96.11
25.0,-95.84
25.0,-95.57
25.0,-95.3
25.0,-95.03
25.0,-94.76
25.0,-94.49
25.0,-94.22
25.0,-93.95
25.0,-93.68
25.0,-93.41
25.0,-93.14
25.0,-92.87
25.0,-92.6
25.0,-92.33
25.0,-92.06
25.0,-91.79
25.0,-91.52
25.0,-91.25
25.0,-90.98
25.0,-90.71
25.0,-90.44
25.0,-90.17
25.0,-89.9
25.0,-89.63
25.0,-89.36
25.0,-89.09
25.0,-88.82
25.0,-88.55
25.0,-88.28
25.0,-88.01
25.0,-87.74
25.0,-87.47
25.0,-87.2
25.0,-86.93
25.0,-86.66
25.0,-86.39
25.0,-86.12
25.0,-85.85
25.0,-85.58
25.0,-85.31
25.0,-85.04
25.0,-84.77
25.0,-84.5
25.0,-84.23
25.0,-83.96
25.0,-83.69
25.0,-83.42
25.0,-83.15
25.0,-82.88
25.0,-82.61
25.0,-82.34
25.0,-82.07
25.0,-81.8
25.0,-81.53
25.0,-81.26
25.0,-80.99
25.0,-80.72
25.0,-80.45
25.0,-80.18
25.0,-79.91
25.0,-79.64
25.0,-79.37
25.0,-79.1
25.0,-78.83
25.0,-78.56
25.0,-78.29
25.0,-78.02
25.0,-77.75
25.0,-77.48
25.0,-77.21
25.0,-76.94
25.0,-76.67
25.0,-76.4
25.0,-76.13
25.0,-75.86
25.0,-75.59
25.0,-75.32
25.0,-75.05
25.0,-74.78
25.0,-74.51
25.0,-74.24
25.0,-73.97
25.0,-73.7
25.0,-73.43
25.0,-73.16
25.0,-72.89
25.0,-72.62
25.0,-72.35
25.0,-72.08
25.0,-71.81
25.0,-71.54
25.0,-71.27
25.0,-71.0
25.0,-70.73
25.0,-70.46
25.0,-70.19
25.0,-69.92
25.0,-69.65
25.0,-69.38
25.0,-69.11
25.0,-68.84
25.0,-68.57
25.0,-68.3
25.0,-68.03
25.0,-67.76
25.0,-67.49
25.0,-67.22
25.0,-66.95
25.0,-66.68
25.0,-66.41
25.0,-66.14
25.27,-125.0
25.27,-124.73
25.27,-124.46
25.27,-124.19
25.27,-123.92
25.27,-123.65
25.27,-123.38
25.27,-123.11
25.27,-122.84
25.27,-122.57
25.27,-122.3
25.27,-122.03
25.27,-121.76
25.27,-121.49
25.27,-121.22
25.27,-120.95
25.27,-120.68
25.27,-120.41
25.27,-120.14
25.27,-119.87
25.27,-119.6
25.27,-119.33
25.27,-119.06
25.27,-118.79
25.27,-118.52
25.27,-118.25
25.27,-117.98
25.27,-117.71
25.27,-117.44
25.27,-117.17
25.27,-116.9
25.27,-116.63
25.27,-116.36
25.27,-116.09
25.27,-115.82
25.27,-115.55
25.27,-115.28
25.27,-115.01
25.27,-114.74
25.27,-114.47
25.27,-114.2
25.27,-113.93
25.27,-113.66
25.27,-113.39
25.27,-113.12
25.27,-112.85
25.27,-112.58
25.27,-112.31
25.27,-112.04
25.27,-111.77
25.27,-111.5
25.27,-111.23
25.27,-110.96
25.27,-110.69
25.27,-110.42
25.27,-110.15
25.27,-109.88
25.27,-109.61
25.27,-109.34
25.27,-109.07
25.27,-108.8
25.27,-108.53
25.27,-108.26
25.27,-107.99
25.27,-107.72
25.27,-107.45
25.27,-107.18
25.27,-106.91
25.27,-106.64
25.27,-106.37
25.27,-106.1
25.27,-105.83
25.27,-105.56
25.27,-105.29
25.27,-105.02
25.27,-104.75
25.27,-104.48
25.27,-104.21
25.27,-103.94
25.27,-103.67
25.27,-103.4
25.27,-103.13
25.27,-102.86
25.27,-102.59
25.27,-102.32
25.27,-102.05
25.27,-101.78
25.27,-101.51
25.27,-101.24
25.27,-100.97
25.27,-100.7
25.27,-100.43
25.27,-100.16
25.27,-99.89
25.27,-99.62
25.27,-99.35
