query,city,lat,lng,radius

witch store,Austin,30.2672,-97.7431,50000
fantasy gift shop,Austin,30.2672,-97.7431,50000
tabletop gaming store,Austin,30.2672,-97.48232735174525,25000
tabletop gaming store,Austin,30.462250766618116,-97.61271367587263,25000
tabletop gaming store,Austin,30.462250766618116,-97.87348632412737,25000
tabletop gaming store,Austin,30.072149233381882,-97.61271367587263,25000
tabletop gaming store,Austin,30.20365564840081,-98.10513801022574,13000
tabletop gaming store,Austin,30.164383079319443,-97.96519272186488,13000
tabletop gaming store,Austin,30.424631135333627,-97.92864621933083,6000
