sorted,query,city,name,address,website,email,flagged
true,Soap store,Los Angeles,Indira Imports Inc,"227 E 11th St, Los Angeles, CA 90015, United States",http://www.indiraimports.com/,indiraimports@gmail.com,
true,Soap store,Los Angeles,Crystal Palace by Simon,"24201 Valencia Blvd, Santa Clarita, CA 91355, United States",https://www.crystalpalacebysimon.com/,CRYSTALPALACEBYSIMON@GMAIL.COM,
true,Soap store,Los Angeles,Soap Plant / Wacko,"4633 Hollywood Blvd, Los Angeles, CA 90027, United States",http://www.soapplant.com/,sales@soapplant.com,
true,Soap store,Los Angeles,sun moon rain,"2601 17th St Suite B, Santa Monica, CA 90405, United States",http://www.sunmoonrain.com/,info@sunmoonrain.com,true
true,Soap store,Los Angeles,Southern Calif Soap Co Inc,"2700 Tanager Ave, Commerce, CA 90040, United States",http://socalsoap.com/,info@socalsoap.com,true
true,Soap store,Los Angeles,Queens Organic Blends,"915 Santee St Unit 9, Los Angeles, CA 90015, United States",http://queensorganicblends.com/,queensorganicblends@yahoo.com,
true,Soap store,Los Angeles,House of Sudz,"235 W Bonita Ave, San Dimas, CA 91773, United States",http://sudzkitchen.com/,contact@sudzkitchen.com,true
true,Soap store,Los Angeles,Sustain LA,"5214 Monte Vista St, Los Angeles, CA 90042, United States",http://www.sustainla.com/,hello@sustainLA.com,
true,Soap store,Los Angeles,KleanSpa,"3414 1/2 W Magnolia Blvd, Burbank, CA 91505, United States",http://www.kleanspa.com/,hello@kleanspa.com,
true,Soap store,Los Angeles,1001 Nights Soap,"7049 Shadygrove St, Tujunga, CA 91042, United States",https://www.1001nightssoap.com/contact,1001nightssoap@gmail.com,
true,Soap store,Los Angeles,Reformation Refill,"177 N Glendora Ave, Glendora, CA 91741, United States",http://reformationrefill.com/,info@reformationrefill.com,true
true,Boutique Cosmetics Store,Los Angeles,Number One Beauty,"1426 Montana Ave, Santa Monica, CA 90403, United States",https://numberonebeautycenter.com/,numberonebeauty@gmail.com,
true,Soap store,Los Angeles,Urban Sugar Salon / Hand Crafted Soap Store,"3939 Long Beach Blvd, Long Beach, CA 90807, United States",https://www.urbansugarsalon.com/,urbansugarsalon@gmail.com,
true,Soap store,Los Angeles,The Good Liver,"705 Mateo St, Los Angeles, CA 90021, United States",http://good-liver.com/,info@good-liver.com,true
true,Soap store,Los Angeles,Tayaet USA Inc,"560 S Los Angeles St # 24, Los Angeles, CA 90013, United States",https://tayaet.com/,info@tayaet.com,true
