sorted,query,city,name,address,website,email,flagged
true,Soap store,Los Angeles,Suhay’s Soaps,"7814 Florence Ave, Downey, CA 90240, United States",http://www.suhayssoaps.com/,,
true,Soap store,Los Angeles,TheNaturalSoaps,"13754 Sherman Way, Van Nuys, CA 91405, United States",https://thenaturalsoaps.com/,,
true,Soap store,Los Angeles,Pour Le Bain,"6721 Greenleaf Ave, Whittier, CA 90601, United States",,,
true,Soap store,Los Angeles,Nectar Life | Universal City Walk,"100 Universal City Plaza #137, Universal City, CA 91608, United States",http://www.nectarusa.com/,,
true,Soap store,Los Angeles,LATHER,"40 W Colorado Blvd, Pasadena, CA 91105, United States",http://www.lather.com/,,
true,Soap store,Los Angeles,Fill Up Buttercup - Costa Mesa,"1125 Victoria St Unit C, Costa Mesa, CA 92627, United States",http://www.fillupbuttercup.com/,,
true,Soap store,Los Angeles,Forest Nymphs Vegan Bath & Body,"214 Main St, Seal Beach, CA 90740, United States",https://www.forestnymphsbathandbody.com/,,
true,Soap store,Los Angeles,Nectar Bath Treats,"3333 Bristol St, Costa Mesa, CA 92626, United States",http://www.nectarusa.com/,,
true,Soap store,Los Angeles,Ash Bay Soap,"314 Elm Ave, Long Beach, CA 90802, United States",,,
true,Soap store,Los Angeles,Apricoty,"1351 Pleasantridge Dr, Altadena, CA 91001, United States",https://apricoty.com/,,
true,Soap store,Los Angeles,Le Pink,"3208 W Sunset Blvd, Los Angeles, CA 90026, United States",http://www.lepinkandco.com/,,
true,Soap store,Los Angeles,Eco Now - Anaheim,"207 W Center Street Promenade, Anaheim, CA 92805, United States",http://www.econowca.com/,,
true,Soap store,Los Angeles,The Crafty Soaps,"We are Inside the packing house Kiosk, 532 W 1st St #1, Claremont, CA 91711, United States",,,
true,Soap store,Los Angeles,Crystal Bar Soap,"15823 Monte St # 104, Sylmar, CA 91342, United States",https://www.crystalbarsoap.com/,,
true,Soap store,Los Angeles,Body Butter Lady,"320 S Market St, Inglewood, CA 90301, United States",http://www.bodybutterlady.com/,,
true,Soap store,Los Angeles,BYO Long Beach - Downtown LB,"431 E 1st St, Long Beach, CA 90802, United States",http://www.byolongbeach.com/,,
true,Soap store,Los Angeles,Unearth Malee Organic Soaps,"1326 Monte Vista Ave #2, Upland, CA 91786, United States",http://www.unearthmalee.com/,,
true,Soap store,Los Angeles,Granny Squad,"2414 James M Wood Blvd #B, Los Angeles, CA 90006, United States",,,
true,Soap store,Los Angeles,Soapish,"24353 Main St, Newhall, CA 91321, United States",https://soapish.com/,,
true,Soap store,Los Angeles,Soaps by Martin,"11800 Kittridge St #12, North Hollywood, CA 91606, United States",https://soapsbymartin.square.site/s/shop?page=1&limit=60&sort_by=popularity_score&sort_order=desc,,
true,Soap store,Los Angeles,Shugar Soap Works,"5955 Rickenbacker Rd, Commerce, CA 90040, United States",http://www.shugarsoapworks.com/#!contact/c24vq,,
true,Soap store,Los Angeles,Anything Skins,"18723 Via Princessa Unit 90, Newhall, CA 91321, United States",https://www.anythingskins.com/,,
true,Soap store,Los Angeles,Larissa Love,"1129 Montana Ave, Santa Monica, CA 90403, United States",https://www.larissalovecosmetics.com/,,
true,Soap store,Los Angeles,Dr Squatch soap,"4065 Glencoe Ave #300b, Marina Del Rey, CA 90292, United States",https://www.drsquatch.com/,,
true,Soap store,Los Angeles,Essence of Nature,"6333 W 3rd St #524, Los Angeles, CA 90036, United States",,,
true,Soap store,Los Angeles,Aroma Scent,"833 S Western Ave # 18, Los Angeles, CA 90005, United States",,,
true,Soap store,Los Angeles,Mrs Panda Soap Co,"9868 De Soto Ave, Chatsworth, CA 91311, United States",https://mrspandasoapco.com/,,
true,Soap store,Los Angeles,Zemala Natur'el,"Pier, Manhattan Beach, CA 90266, United States",,,
true,Soap store,Los Angeles,Et Toi Soap,"712 S Santa Fe Ave, Los Angeles, CA 90021, United States",,,
true,Soap store,Los Angeles,The Black Barbershop Trading Company,"212 E Regent St, Inglewood, CA 90301, United States",,,
true,Soap store,Los Angeles,Aves Soap Co.,"1114 W Greenhaven St, Covina, CA 91722, United States",,,
true,Soap store,Los Angeles,The Well Refill,"120 S Topanga Canyon Blvd Suite 100, Topanga, CA 90290, United States",http://thewellrefill.com/,,
true,Soap store,Los Angeles,My Zero Waste Store,"25 S El Molino Ave, Pasadena, CA 91101, United States",https://www.myzerowastestore.com/,,
true,Boutique Cosmetics Store,Los Angeles,Queen Angel Shop,"5609 Yolanda Ave, Tarzana, CA 91356, United States",http://www.queenangelshop.com/,,
true,Boutique Cosmetics Store,Los Angeles,Pixi Beauty Boutique L.A.,"10250 Santa Monica Blvd Suite 2380 Suite 2380, Los Angeles, CA 90067, United States",http://pixibeauty.com/,,
true,Boutique Cosmetics Store,Los Angeles,luxury Beauty store,"4957 Sycamore Terrace #1/2, Los Angeles, CA 90042, United States",https://www.luxurybeautystore.us/,,
true,Boutique Cosmetics Store,Los Angeles,M Beauty,"5555 Whittier Blvd, Commerce, CA 90022, United States",,,
true,Boutique Cosmetics Store,Los Angeles,Coastline Beauty Inc.,"1120 Santee St suite d, Los Angeles, CA 90015, United States",https://www.ebay.com/str/coastlinebeauty,,
true,Boutique Cosmetics Store,Los Angeles,GiGi's Cosmetics Boutique,"9200 Bolsa Ave Suite 131 - 3, Westminster, CA 92683, United States",http://www.gigiscosmetics.net/,,
true,Boutique Cosmetics Store,Los Angeles,Heavenly Beauty Boutique,"9303 S Vermont Ave, Los Angeles, CA 90044, United States",https://heavenlybeauty.glideapp.io/,,
true,Boutique Cosmetics Store,Los Angeles,Arirang Total Cosmetics: Korean Beauty Supplies & Cosmetics,"9580 Garden Grove Blvd #301, Garden Grove, CA 92844, United States",,,
true,Boutique Cosmetics Store,Los Angeles,VIOLET GREY,"8452 Melrose Pl, Los Angeles, CA 90069, United States",http://www.violetgrey.com/,,
true,Boutique Cosmetics Store,Los Angeles,Tina G Cosmetics,"305 N Yale Ave, Claremont, CA 91711, United States",http://www.tinagcosmetics.com/,,
true,Boutique Cosmetics Store,Los Angeles,Heavenly Beauty Studio,"1000 W 93rd St, Los Angeles, CA 90044, United States",http://heavenlybeauty.glideapp.io/,,
true,Soap store,Los Angeles,Feel Good Market,"110 Harvard Ave N, Claremont, CA 91711, United States",https://www.feelgoodmarket.com/,,
true,Soap store,Los Angeles,Shibuyala (Arcadia Mall),"400 S Baldwin Ave B13, Arcadia, CA 91007, United States",http://www.shibuyala.com/,,
true,Soap store,Los Angeles,Allison's Goods,"815 N Harbor Blvd, Fullerton, CA 92832, United States",http://www.allisonsgoods.com/,,
true,Soap store,Los Angeles,Barato Discount Store,"4982 Whittier Blvd, East Los Angeles, CA 90022, United States",http://barato-discount-store.lany.io/,,
true,Soap store,Los Angeles,Indiana 99 ¢ent Store,"1522 N Indiana St, Los Angeles, CA 90063, United States",,,
true,Soap store,Los Angeles,VITATIV Cosmetics Store,"116 W Garvey Ave A, Monterey Park, CA 91754, United States",,,
true,Soap store,Los Angeles,Assi's K-Beauti,"333 S Alameda St #112, Los Angeles, CA 90013, United States",,,
true,Soap store,Los Angeles,Flor’s 99 Store,"3231 E Florence Ave, Huntington Park, CA 90255, United States",,,
true,Soap store,Los Angeles,Shugar Soapworks Inc,"724 E 61st St, Los Angeles, CA 90001, United States",,,
true,Soap store,Los Angeles,Diptyque The Grove,"189 The Grove Dr Space Q-03, Los Angeles, CA 90036, United States",https://stores.diptyqueparis.com/en/diptyque-the-grove,,
true,Soap store,Los Angeles,Palace Beauty Galleria,"3250 W Olympic Blvd #214, Los Angeles, CA 90006, United States",https://www.shoppalacebeauty.com/,,
true,Soap store,Los Angeles,Larchmont Beauty Center,"208 N Larchmont Blvd, Los Angeles, CA 90004, United States",http://larchmontbeauty.com/,,
true,Soap store,Los Angeles,Kiehl's Since 1851,"6333 W 3rd St, Los Angeles, CA 90036, United States",https://stores.kiehls.com/ca/los-angeles/6333-west-3rd-street.html,,
true,Soap store,Los Angeles,Diptyque Larchmont,"202 N Larchmont Blvd, Los Angeles, CA 90004, United States",https://stores.diptyqueparis.com/en/diptyque-larchmont,,
true,Soap store,Los Angeles,Zatik Inc.,"509 S Flower St, Burbank, CA 91502, United States",http://www.zatiknaturals.com/,,
true,Soap store,Los Angeles,Rite Aid,"1744 W 6th St, Los Angeles, CA 90017, United States",https://www.riteaid.com/locations/ca/los-angeles/1744-west-sixth-street.html,,
true,Soap store,Los Angeles,Warner Bros. Studio Store,"3400 Warner Blvd, Burbank, CA 91505, United States",https://www.wbstudiotour.com/tour/warner-bros-studio-store/,,
true,Soap store,Los Angeles,Bubbs & Drizzle Body Goods,"25846-1/2 McBean Pkwy, Santa Clarita, CA 91355, United States",http://www.bubbsanddrizzle.com/,,
true,Soap store,Los Angeles,"The Goddess of Flame Spiritual Store, Psychic/ Medium, Hypnotherapy","21759 Ventura Blvd, Woodland Hills, CA 91364, United States",http://www.thegoddessofflame.com/,,
true,Soap store,Los Angeles,SARZ Candles & Soaps,"Encino, CA 91316, United States",,,
true,Soap store,Los Angeles,Toni O'Neill Skincare,"10573 W Pico Blvd #232, Los Angeles, CA 90064, United States",http://www.tonioneillskincare.com/,,
true,Soap store,Los Angeles,"Handy Market, Choice Meats, Wine Store, Craft Beer Shop, Bottle Shop, Butcher","2514 Magnolia Blvd #22, Burbank, CA 91505, United States",https://www.handymarketburbank.com/,,
true,Soap store,Los Angeles,Candle Delirium,"7980 Santa Monica Blvd, West Hollywood, CA 90046, United States",http://www.candledelirium.com/,,
true,Soap store,Los Angeles,Just 98¢ Store,"756 S Alvarado St, Los Angeles, CA 90057, United States",,,
true,Soap store,Los Angeles,Big Square,"831 N Pacific Ave, Glendale, CA 91203, United States",https://bigsquarestore.com/,,
true,Soap store,Los Angeles,re_ grocery,"12142 Ventura Blvd, Studio City, CA 91604, United States",http://www.regrocery.co/,,
true,Soap store,Los Angeles,Nappily Naturals & Apothecary,"4342 Degnan Blvd, Los Angeles, CA 90008, United States",http://www.nappilynaturals.com/,,
