sorted,query,city,location_id,coordinates,name,address,website,email,flagged
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Soapology,"67 8th Ave, New York, NY 10014, United States",https://www.soapologynyc.com/,10014support@soapologynyc.com,true
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Mumu Bath,"72 Jay St, Brooklyn, NY 11201, United States",https://www.mumubath.com/,sasha.chou@mumubath.comPR,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Back Porch Soap Company,"711 Amsterdam Ave, New York, NY 10025, United States",https://www.backporchsoap.com/,info@backporchsoap.com,true
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Sensorium Emporium,"28 Monmouth St, Red Bank, NJ 07701, United States",http://sensoriumemporium.net/,beth.allen.mnb@gmail.combottom,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",DollyMoo,"217 Glenridge Ave, Montclair, NJ 07042, United States",http://www.dollymoo.com/,Info@dollymoo.com,true
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Serendipityiyi Soap & more,"194 Olean Ave, Jersey City, NJ 07306, United States",http://serendipityiyisoapandmore.com/,Moreserendipityiyisoap@gmail.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Chelsea,"174 9th Ave, New York, NY 10011, United States",https://www.aesop.com/us/r/aesop-chelsea?utm_source=gmb&utm_medium=yext,rightUpArrowEmailchelsea@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Nolita,"226 Elizabeth St, New York, NY 10012, United States",https://www.aesop.com/us/r/aesop-nolita?utm_source=gmb&utm_medium=yext,rightUpArrowEmailnolita@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Spell Bathing,"37 Duncan Ave, Jersey City, NJ 07304, United States",https://spellbathing.com/,spellbathing@gmail.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Maison Jar,"566 Leonard St, Brooklyn, NY 11222, United States",http://www.maisonjar.nyc/,hello@maisonjar.nyc,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Madison Avenue,"1070 Madison Ave, New York, NY 10028, United States",https://www.aesop.com/us/r/aesop-madison-avenue?utm_source=gmb&utm_medium=yext,rightUpArrowEmailmadisonavenue@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Park Slope,"225 5th Ave, Brooklyn, NY 11215, United States",https://www.aesop.com/us/r/aesop-park-slope?utm_source=gmb&utm_medium=yext,rightUpArrowEmailparkslope@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Williamsburg,"85 N 3rd St, Brooklyn, NY 11249, United States",https://www.aesop.com/us/r/aesop-williamsburg?utm_source=gmb&utm_medium=yext,rightUpArrowEmailwilliamsburg@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Forces of Nature,"1608 Sheepshead Bay Rd, Brooklyn, NY 11235, United States",http://www.eforcesofnature.com/,11235info@eforcesofnature.com718,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",MALIN+GOETZ,"100 W 72nd St, New York, NY 10023, United States",https://www.malinandgoetz.com/uws-columbus-shop,uwscolumbus@malinandgoetz.comapothecary,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Bergen Street,"57 Bergen St, Brooklyn, NY 11201, United States",https://www.aesop.com/us/r/aesop-bergen-street?utm_source=gmb&utm_medium=yext,rightUpArrowEmailbergenstreet@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop Upper West Side,"219 Columbus Ave, New York, NY 10023, United States",https://www.aesop.com/us/r/aesop-upper-west-side?utm_source=gmb&utm_medium=yext,rightUpArrowEmailupperwestside@aesop.com,
true,Soap store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Sweetwater Labs,"777 6th Ave, New York, NY 10001, United States",https://www.sweetwaterlabsnyc.com/,10001646.825.1488info@sweetwaterlabsnyc.com,true
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",WegoInc Discounted Cosmetics store,"775 51st St, Brooklyn, NY 11220, United States",http://www.wegoinc.online/,usWegobeauty@gmail.comSOCIALFREE,
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",The Detox Market,"76 E Houston St, New York, NY 10012, United States",http://www.thedetoxmarket.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=houston,hello@thedetoxmarket.com,
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",La Maison Valmont New York,"35 E 76th St, New York, NY 10021, United States",https://www.lamaisonvalmont.com/en/la-maison-valmont-newyork-thecarlyle,spavalmont@evalmont.caBOOK,
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",MALIN+GOETZ,"225 Bedford Ave, Brooklyn, NY 11211, United States",https://www.malinandgoetz.com/williamsburg-shop,williamsburg@malinandgoetz.comapothecary,
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Aesop West Broadway,"438 W Broadway, New York, NY 10012, United States",https://www.aesop.com/us/r/aesop-west-broadway?utm_source=gmb&utm_medium=yext,rightUpArrowEmailwestbroadway@aesop.com,
true,Boutique Cosmetics Store,New York,New York_40.71_-74.01,"40.7128,-74.0060",Charlotte Tilbury - Bloomingdales Soho,"Bloomingdales, 504 Broadway, New York, NY 10012, United States",https://stores.charlottetilbury.com/us/ny/new-york/504-broadway?y_source=1_MTIxMzI0ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,customercare@charlottetilbury.com,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Indira Imports Inc,"227 E 11th St, Los Angeles, CA 90015, United States",http://www.indiraimports.com/,indiraimports@gmail.com,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Crystal Palace by Simon,"24201 Valencia Blvd, Santa Clarita, CA 91355, United States",https://www.crystalpalacebysimon.com/,CRYSTALPALACEBYSIMON@GMAIL.COMEnter,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Soap Plant / Wacko,"4633 Hollywood Blvd, Los Angeles, CA 90027, United States",http://www.soapplant.com/,sales@soapplant.com,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",sun moon rain,"2601 17th St Suite B, Santa Monica, CA 90405, United States",http://www.sunmoonrain.com/,info@sunmoonrain.com,true
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Southern Calif Soap Co Inc,"2700 Tanager Ave, Commerce, CA 90040, United States",http://socalsoap.com/,info@socalsoap.com,true
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Queens Organic Blends,"915 Santee St Unit 9, Los Angeles, CA 90015, United States",http://queensorganicblends.com/,queensorganicblends@yahoo.comSubscribe,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",House of Sudz,"235 W Bonita Ave, San Dimas, CA 91773, United States",http://sudzkitchen.com/,contact@sudzkitchen.com,true
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Aesop West 3rd Street,"8368 W 3rd St, Los Angeles, CA 90048, United States",https://www.aesop.com/us/r/aesop-west-3rd-street?utm_source=gmb&utm_medium=yext,rightUpArrowEmailaesopwest3rd@aesop.com,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Aesop Fairfax,"830 N Fairfax Ave Suite 2, Los Angeles, CA 90046, United States",https://www.aesop.com/us/r/aesop-fairfax?utm_source=gmb&utm_medium=yext,rightUpArrowEmailfairfax@aesop.com,
true,Soap store,Los Angeles,Los Angeles_34.05_-118.24,"34.0522,-118.2437",Aesop Silver Lake,"3513 W Sunset Blvd, Los Angeles, CA 90026, United States",https://www.aesop.com/us/r/aesop-silver-lake?utm_source=gmb&utm_medium=yext,rightUpArrowEmailsilverlake@aesop.com,
