Skip?,Status,city,lat,lng,radius,query
Yes,🔄,New York,40.7128,-74.0060,50000,Soap store
Yes,🔄,New York,40.7128,-74.0060,50000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,34.0522,-118.2437,50000,Soap store
Yes,🔄,Los Angeles,34.0522,-118.2437,50000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.7749,-122.4194,50000,Soap store
Yes,🔄,San Francisco,37.7749,-122.4194,50000,Boutique Cosmetics Store
Yes,✅,Seattle,47.6062,-122.3321,50000,Soap store
Yes,🔄,New York,40.7128,-73.70886464176117,25000,Soap store
Yes,🔄,New York,40.90785076661812,-73.85743232088059,25000,Soap store
Yes,🔄,New York,40.90785076661812,-74.15456767911941,25000,Soap store
Yes,🔄,New York,40.7128,-74.30313535823883,25000,Soap store
Yes,🔄,New York,40.517749233381885,-74.15456767911941,25000,Soap store
Yes,🔄,New York,40.517749233381885,-73.85743232088059,25000,Soap store
Yes,🔄,New York,40.7128,-73.70886464176117,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.90785076661812,-73.85743232088059,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.90785076661812,-74.15456767911941,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.7128,-74.30313535823883,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.517749233381885,-74.15456767911941,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.517749233381885,-73.85743232088059,25000,Boutique Cosmetics Store
Yes,✅,Los Angeles,34.0522,-117.971862128549,25000,Soap store
Yes,✅,Los Angeles,34.247250766618116,-118.1077810642745,25000,Soap store
Yes,🔄,Los Angeles,34.247250766618116,-118.3796189357255,25000,Soap store
Yes,🔄,Los Angeles,34.0522,-118.515537871451,25000,Soap store
Yes,🔄,Los Angeles,33.85714923338188,-118.3796189357255,25000,Soap store
Yes,🔄,Los Angeles,33.85714923338188,-118.1077810642745,25000,Soap store
Yes,🔄,Los Angeles,34.0522,-117.971862128549,25000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,34.247250766618116,-118.1077810642745,25000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,34.247250766618116,-118.3796189357255,25000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,34.0522,-118.515537871451,25000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,33.85714923338188,-118.3796189357255,25000,Boutique Cosmetics Store
Yes,🔄,Los Angeles,33.85714923338188,-118.1077810642745,25000,Boutique Cosmetics Store
Yes,✅,San Francisco,37.7749,-122.13445750644331,25000,Soap store
Yes,✅,San Francisco,37.96995076661812,-122.27692875322165,25000,Soap store
Yes,✅,San Francisco,37.96995076661812,-122.56187124677834,25000,Soap store
Yes,✅,San Francisco,37.7749,-122.70434249355668,25000,Soap store
No,,San Francisco,37.579849233381886,-122.56187124677834,25000,Soap store
Yes,✅,San Francisco,37.579849233381886,-122.27692875322165,25000,Soap store
Yes,🔄,San Francisco,37.7749,-122.13445750644331,25000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.96995076661812,-122.27692875322165,25000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.96995076661812,-122.56187124677834,25000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.7749,-122.70434249355668,25000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.579849233381886,-122.56187124677834,25000,Boutique Cosmetics Store
Yes,🔄,San Francisco,37.579849233381886,-122.27692875322165,25000,Boutique Cosmetics Store
Yes,🔄,New York,40.7128,-73.56623966980654,13000,Soap store
Yes,✅,New York,40.81561692068056,-73.66479110160493,13000,Soap store
Yes,🔄,New York,40.776344351599185,-73.82425066789472,13000,Soap store
Yes,🔄,New York,40.64925564840082,-73.82425066789472,13000,Soap store
Yes,🔄,New York,40.60998307931944,-73.66479110160493,13000,Soap store
Yes,✅,New York,40.90785076661812,-73.71438747605534,13000,Soap store
Yes,✅,New York,41.01066768729868,-73.81322903287186,13000,Soap store
Yes,✅,New York,40.9713951182173,-73.97315803130195,13000,Soap store
Yes,🔄,New York,40.844306415018934,-73.97315803130195,13000,Soap store
Yes,🔄,New York,40.80503384593756,-73.81322903287186,13000,Soap store
Yes,🔄,New York,40.90785076661812,-74.01152283429415,13000,Soap store
Yes,✅,New York,41.01066768729868,-74.11036439111068,13000,Soap store
Yes,🔄,New York,40.9713951182173,-74.27029338954077,13000,Soap store
Yes,✅,New York,40.844306415018934,-74.27029338954077,13000,Soap store
Yes,🔄,New York,40.80503384593756,-74.11036439111068,13000,Soap store
Yes,🔄,New York,40.7128,-74.1605103862842,13000,Soap store
Yes,✅,New York,40.81561692068056,-74.2590618180826,13000,Soap store
Yes,✅,New York,40.776344351599185,-74.41852138437238,13000,Soap store
Yes,✅,New York,40.64925564840082,-74.41852138437238,13000,Soap store
Yes,🔄,New York,40.60998307931944,-74.2590618180826,13000,Soap store
Yes,🔄,New York,40.517749233381885,-74.01235847912966,13000,Soap store
Yes,🔄,New York,40.620566154062445,-74.11062261956612,13000,Soap store
Yes,✅,New York,40.58129358498107,-74.26961733866759,13000,Soap store
Yes,🔄,New York,40.4542048817827,-74.26961733866759,13000,Soap store
Yes,✅,New York,40.414932312701325,-74.11062261956612,13000,Soap store
Yes,✅,New York,40.517749233381885,-73.71522312089084,13000,Soap store
Yes,🔄,New York,40.620566154062445,-73.8134872613273,13000,Soap store
Yes,🔄,New York,40.58129358498107,-73.97248198042877,13000,Soap store
Yes,🔄,New York,40.4542048817827,-73.97248198042877,13000,Soap store
Yes,🔄,New York,40.414932312701325,-73.8134872613273,13000,Soap store
Yes,🔄,New York,40.7128,-73.56623966980654,13000,Boutique Cosmetics Store
Yes,🔄,New York,40.81561692068056,-73.66479110160493,13000,Boutique Cosmetics Store
Yes,🔄,New York,40.776344351599185,-73.82425066789472,13000,Boutique Cosmetics Store
