Skip?,Status,city,lat,lng,radius,query
Yes,🔄,Charlotte,35.2271,-80.8431,50000,witch store
Yes,✅,Charlotte,35.2271,-80.8431,50000,tabletop gaming store
Yes,✅,Charlotte,35.2271,-80.8431,50000,fantasy gift shop
Yes,🔄,Raleigh,35.7796,-78.6382,50000,witch store
Yes,🔄,Raleigh,35.7796,-78.6382,50000,tabletop gaming store
Yes,✅,Raleigh,35.7796,-78.6382,50000,fantasy gift shop
Yes,✅,Richmond,37.5407,-77.4360,50000,witch store
Yes,🔄,Richmond,37.5407,-77.4360,50000,tabletop gaming store
Yes,✅,Richmond,37.5407,-77.4360,50000,fantasy gift shop
Yes,🔄,Baltimore,39.2904,-76.6122,50000,witch store
Yes,🔄,Baltimore,39.2904,-76.6122,50000,tabletop gaming store
Yes,✅,Baltimore,39.2904,-76.6122,50000,fantasy gift shop
Yes,🔄,Philadelphia,39.9526,-75.1652,50000,witch store
Yes,🔄,Philadelphia,39.9526,-75.1652,50000,tabletop gaming store
Yes,✅,Philadelphia,39.9526,-75.1652,50000,fantasy gift shop
Yes,🔄,Detroit,42.3314,-83.0458,50000,witch store
Yes,🔄,Detroit,42.3314,-83.0458,50000,tabletop gaming store
Yes,✅,Detroit,42.3314,-83.0458,50000,fantasy gift shop
Yes,🔄,Pittsburgh,40.4406,-79.9959,50000,witch store
Yes,🔄,Pittsburgh,40.4406,-79.9959,50000,tabletop gaming store
Yes,✅,Pittsburgh,40.4406,-79.9959,50000,fantasy gift shop
Yes,🔄,Miami,25.7617,-80.1918,50000,witch store
Yes,✅,Miami,25.7617,-80.1918,50000,tabletop gaming store
Yes,✅,Miami,25.7617,-80.1918,50000,fantasy gift shop
Yes,🔄,Orlando,28.5383,-81.3792,50000,witch store
Yes,✅,Orlando,28.5383,-81.3792,50000,tabletop gaming store
Yes,✅,Orlando,28.5383,-81.3792,50000,fantasy gift shop
Yes,✅,Memphis,35.1495,-90.0490,50000,witch store
Yes,🔄,Memphis,35.1495,-90.0490,50000,tabletop gaming store
Yes,✅,Memphis,35.1495,-90.0490,50000,fantasy gift shop
Yes,✅,Dallas,32.7767,-96.7970,50000,witch store
Yes,🔄,Dallas,32.7767,-96.7970,50000,tabletop gaming store
Yes,✅,Dallas,32.7767,-96.7970,50000,fantasy gift shop
Yes,✅,Tulsa,36.15398,-95.99277,50000,witch store
Yes,🔄,Tulsa,36.15398,-95.99277,50000,tabletop gaming store
Yes,✅,Tulsa,36.15398,-95.99277,50000,fantasy gift shop
Yes,✅,Kansas City,39.0997,-94.5786,50000,witch store
Yes,✅,Kansas City,39.0997,-94.5786,50000,tabletop gaming store
Yes,✅,Kansas City,39.0997,-94.5786,50000,fantasy gift shop
Yes,🔄,Denver,39.7392,-104.9903,50000,witch store
Yes,🔄,Denver,39.7392,-104.9903,50000,tabletop gaming store
Yes,✅,Denver,39.7392,-104.9903,50000,fantasy gift shop
Yes,✅,Phoenix,33.4484,-112.0740,50000,witch store
Yes,✅,Phoenix,33.4484,-112.0740,50000,tabletop gaming store
Yes,✅,Phoenix,33.4484,-112.0740,50000,fantasy gift shop
Yes,🔄,Salt Lake City,40.7608,-111.8910,50000,witch store
Yes,🔄,Salt Lake City,40.7608,-111.8910,50000,tabletop gaming store
Yes,✅,Salt Lake City,40.7608,-111.8910,50000,fantasy gift shop
Yes,✅,Boise,43.6150,-116.2023,50000,witch store
Yes,✅,Boise,43.6150,-116.2023,50000,tabletop gaming store
Yes,✅,Boise,43.6150,-116.2023,50000,fantasy gift shop
Yes,✅,Washington,38.9072,-77.0369,50000,witch store
Yes,🔄,Washington,38.9072,-77.0369,50000,tabletop gaming store
Yes,✅,Washington,38.9072,-77.0369,50000,fantasy gift shop
Yes,✅,Las Vegas,36.1699,-115.1398,50000,witch store
Yes,✅,Las Vegas,36.1699,-115.1398,50000,tabletop gaming store
Yes,✅,Las Vegas,36.1699,-115.1398,50000,fantasy gift shop
Yes,🔄,Columbus,39.9612,-82.9988,50000,witch store
Yes,🔄,Columbus,39.9612,-82.9988,50000,tabletop gaming store
Yes,✅,Columbus,39.9612,-82.9988,50000,fantasy gift shop
No,,Charlotte,35.2271,-80.56738338817802,25000,witch store
No,,Charlotte,35.42215076661812,-80.70524169408901,25000,witch store
No,,Charlotte,35.42215076661812,-80.980958305911,25000,witch store
No,,Charlotte,35.2271,-81.118816611822,25000,witch store
No,,Charlotte,35.03204923338188,-80.980958305911,25000,witch store
No,,Charlotte,35.03204923338188,-80.70524169408901,25000,witch store
No,,Raleigh,35.7796,-78.36058014612493,25000,witch store
No,,Raleigh,35.97465076661812,-78.49939007306246,25000,witch store
No,,Raleigh,35.97465076661812,-78.77700992693754,25000,witch store
No,,Raleigh,35.7796,-78.91581985387506,25000,witch store
No,,Raleigh,35.584549233381885,-78.77700992693754,25000,witch store
No,,Raleigh,35.584549233381885,-78.49939007306246,25000,witch store
No,,Raleigh,35.7796,-78.36058014612493,25000,tabletop gaming store
No,,Raleigh,35.97465076661812,-78.49939007306246,25000,tabletop gaming store
No,,Raleigh,35.97465076661812,-78.77700992693754,25000,tabletop gaming store
No,,Raleigh,35.7796,-78.91581985387506,25000,tabletop gaming store
No,,Raleigh,35.584549233381885,-78.77700992693754,25000,tabletop gaming store
No,,Raleigh,35.584549233381885,-78.49939007306246,25000,tabletop gaming store
No,,Richmond,37.5407,-77.15195492057254,25000,tabletop gaming store
No,,Richmond,37.73575076661812,-77.29397746028627,25000,tabletop gaming store
No,,Richmond,37.73575076661812,-77.57802253971374,25000,tabletop gaming store
No,,Richmond,37.5407,-77.72004507942748,25000,tabletop gaming store
No,,Richmond,37.345649233381884,-77.57802253971374,25000,tabletop gaming store
No,,Richmond,37.345649233381884,-77.29397746028627,25000,tabletop gaming store
No,,Baltimore,39.2904,-76.32119115536004,25000,witch store
No,,Baltimore,39.485450766618115,-76.46669557768003,25000,witch store
No,,Baltimore,39.485450766618115,-76.75770442231997,25000,witch store
No,,Baltimore,39.2904,-76.90320884463996,25000,witch store
No,,Baltimore,39.09534923338188,-76.75770442231997,25000,witch store
No,,Baltimore,39.09534923338188,-76.46669557768003,25000,witch store
No,,Baltimore,39.2904,-76.32119115536004,25000,tabletop gaming store
No,,Baltimore,39.485450766618115,-76.46669557768003,25000,tabletop gaming store
No,,Baltimore,39.485450766618115,-76.75770442231997,25000,tabletop gaming store
No,,Baltimore,39.2904,-76.90320884463996,25000,tabletop gaming store
No,,Baltimore,39.09534923338188,-76.75770442231997,25000,tabletop gaming store
No,,Baltimore,39.09534923338188,-76.46669557768003,25000,tabletop gaming store
No,,Philadelphia,39.9526,-74.87139320214615,25000,witch store
No,,Philadelphia,40.14765076661811,-75.01829660107308,25000,witch store
No,,Philadelphia,40.14765076661811,-75.31210339892692,25000,witch store
No,,Philadelphia,39.9526,-75.45900679785385,25000,witch store
No,,Philadelphia,39.75754923338188,-75.31210339892692,25000,witch store
No,,Philadelphia,39.75754923338188,-75.01829660107308,25000,witch store
