sorted,query,city,location_id,coordinates,name,address,website,email,flagged
true,tabletop game store,Chicago,,,The Wandering Dragon Game & Puzzle Shoppe,"15032 S Des Plaines St, Plainfield, IL 60544, United States",http://wanderingdragon.com/,267-6245info@WanderingDragon.com,true
true,tabletop game store,Chicago,,,Grognard Games & Hobbies,"839 N Roselle Rd, Roselle, IL 60172, United States",http://grognardgames.com/,info@grognardgames.com,true
true,tabletop game store,Chicago,,,Prism Games Chicago,"2874 N Milwaukee Ave, Chicago, IL 60618, United States",http://prismgameschicago.com/,60618prismgameschicago@gmail.com,
true,tabletop game store,Chicago,,,Evanston Games & Cafe,"1707 Maple Ave, Evanston, IL 60201, United States",https://www.evanstongames.com/,evanstongamer@gmail.com,
true,tabletop game store,Chicago,,,Chicagoland Games Dice Dojo,"5550 N Broadway, Chicago, IL 60640, United States",http://www.chicagolandgames.com/,staff@chicagolandgames.com,
true,tabletop game store,Chicago,,,Goblin Games & Hobby,"299 S Schmidt Rd, Bolingbrook, IL 60440, United States",https://goblingameshobby.myshopify.com/,goblinboardgames@gmail.com,
true,tabletop game store,Chicago,,,Grandmaster Games - Oak Park,"436 S Ridgeland Ave, Oak Park, IL 60302, United States",http://www.grandmastergames.net/,charlie@grandmastergames.net,
true,tabletop game store,Chicago,,,Spellbound Games,"1116 N Milwaukee Ave, Chicago, IL 60642, United States",https://spellboundgameschicago.crystalcommerce.com/,spellboundgameschicago@gmail.com,
true,tabletop game store,Chicago,,,Athena Board Game Cafe,"1412 W Lunt Ave, Chicago, IL 60626, United States",http://www.athenabgc.com/,contact@athenabgc.comMade,
true,tabletop game store,Chicago,,,Cinderheart Gaming,"17w500 W 22nd St, Oakbrook Terrace, IL 60181, United States",http://cinderheartgaming.com/,ContactCinderheartgaming@gmail.com,true
true,tabletop game store,Chicago,,,Pastimes Comics & Games,"233 Golf Mill Drive Entrance, 8, Niles, IL 60714, United States",http://www.pastimes.net/,info@pastimes.net,true
true,tabletop game store,Chicago,,,Gamify Gaming Lounge,"7536 W 103rd St, Bridgeview, IL 60455, United States",http://www.gamifygaming.com/,info@gamifygaming.com,true
true,tabletop game store,Chicago,,,Gamers World,"4999 Old Orchard Shopping Ctr N42, Skokie, IL 60077, United States",https://gamersworldchicago.net/,gamersworldoldorchard@gmail.com,
true,tabletop game store,Chicago,,,Everything Games,"404 W Half Day Rd, Buffalo Grove, IL 60089, United States",https://everything-games.com/,info@everything-games.com,true
true,tabletop game store,Chicago,,,Play The Drive,"1532 N North Park Avenue, Chicago, IL 60610, United States",http://playthedrive.com/,dd@playthedrive.com,
true,tabletop game store,Chicago,,,"GameStorm, Inc.","1243 State St Ste 107, Lemont, IL 60439, United States",http://www.gamestormgaming.com/,events.630-243-9330gamestormgaming@gmail.comCopyright,
true,tabletop game store,Chicago,,,"kibbitznest books, brews & blarney","2212 N Clybourn Ave, Chicago, IL 60614, United States",http://www.kibbitznest.com/,store@kibbitznest.com,
true,tabletop game store,Chicago,,,DNDDICE.COM,"7121 N Austin Ave, Niles, IL 60714, United States",https://www.dnddice.com/,sales@dnddice.com,
true,tabletop game store,Chicago,,,Stay and Play Game Cafe,"3932 W Irving Park Rd, Chicago, IL 60618, United States",http://www.stayandplaygamecafe.com/,jose@stayandplaygamecafe.comSend,
true,tabletop game store,Chicago,,,AlleyCat Comics,"5304 N Clark St, Chicago, IL 60640, United States",http://www.alleycatcomics.com/,Orders@alleycatcomics.com,
true,tabletop game store,Chicago,,,Hotsauce Games,"605 Ogden Ave, Downers Grove, IL 60515, United States",http://www.hotsaucegames.com/,sales@hotsaucegames.com,
true,tabletop game store,Chicago,,,Gamers World,"5 Woodfield Mall G138, Schaumburg, IL 60173, United States",http://gamersworldchicago.net/,gamersworldoldorchard@gmail.com,
true,tabletop game store,Chicago,,,Grognard Games Batavia,"1375 Wind Energy Pass, Batavia, IL 60510, United States",https://grognardgamesbatavia.com/,grognardgamesbatavia@gmail.com,
true,tabletop game store,Chicago,,,Geppetto's Toy Box,"730 Lake St, Oak Park, IL 60301, United States",https://geppettostoybox.com/,magic@geppettostoybox.com,
true,tabletop game store,Chicago,,,The Gaming Goat - Wrigleyville,"2248 W Irving Park Rd, Chicago, IL 60618, United States",http://tgg-games.com/,support@knightanddaygames.com,true
true,tabletop game store,New Orleans,,,Go 4 Games,"4953 W Napoleon Ave, Metairie, LA 70001, United States",http://go4gamesnola.com/,1-504-324-8335Support@go4gamesnola.comGo,true
true,tabletop game store,Jacksonville,,,"Gamers-Corps (Jacksonville, FL)","Above Post Office, 112 Bartram Oaks Walk #208, Fruit Cove, FL 32259, United States",http://www.gamers-corps.store/,481-8874InquiriesGame_On@gamers-corps.comBuilding,
true,tabletop game store,Jacksonville,,,Counterspell Games,"8102 Blanding Blvd #12, Jacksonville, FL 32244, United States",http://counterspellgamestcg.com/,email@example.com,
true,tabletop game store,Jacksonville,,,Dick & Jane's,"1833 Dean Rd, Jacksonville, FL 32216, United States",http://www.dickandjanes.com/,sales@dickandjanes.com,
true,tabletop game store,Jacksonville,,,Casual Heroes Cards and Games,"6847 St Augustine Rd, Jacksonville, FL 32217, United States",http://www.casualheroescag.com/,casualheroescardsandgames@gmail.com,
true,tabletop game store,Jacksonville,,,Home Arcades,"8955 Beach Blvd, Jacksonville, FL 32216, United States",http://www.homearcades.com/,HOMEARCADES@AOL.COM,
true,tabletop game store,Jacksonville,,,BKR Enterprises,"1447 Wells Rd, Orange Park, FL 32073, United States",http://bkrenterprises.com/,filler@godaddy.comHomeGalleryProject,
true,tabletop game store,Jacksonville,,,"Thrift Store Jacksonville, FL: RedHands Family Foundation","4212 Hwy Ave suite c, Jacksonville, FL 32254, United States",http://thriftstorejaxfl.com/,filler@godaddy.comHomeShopAccountOrdersMy,
true,tabletop game store,Jacksonville,,,BASCA Bargain Boutique,"2111 Smith St, Orange Park, FL 32073, United States",https://bascainc.org/boutique/,bargainboutique@bascainc.org,
true,tabletop game store,Jacksonville,,,Chamblin Bookmine,"4551 Roosevelt Blvd, Jacksonville, FL 32210, United States",http://www.chamblinbookmine.com/,chamblinsevents@gmail.com,
true,witch store,New York City,,,My Little Magic Shop,"697 Amsterdam Ave, New York, NY 10025, United States",http://mylittlemagicshop.com/,info@mylittlemagicshop.com,true
true,witch store,New York City,,,Scent Elate,"313 W 48th St, New York, NY 10036, United States",https://scentelate.com/,filler@godaddy.comOrdersMy,
true,witch store,New York City,,,Juicy Karma Botanica,"69-27 Myrtle Ave, Glendale, NY 11385, United States",http://juicykarma.com/,filler@godaddy.comHomeShopTarot,
true,witch store,New York City,,,Aum Shanti Bookshop & Psychic Tarot Card Readings,"230 E 14th St, New York, NY 10003, United States",https://www.aumshantibookshop.com/,aumshantibookshop@gmail.com,
true,witch store,New York City,,,Sacred Botanica BK,"717 Coney Island Ave, Brooklyn, NY 11218, United States",http://sacredbotanicabk.com/,CONTACTinfo@sacredvibeshealing.com718,
true,witch store,New York City,,,Mama Gaiam,"213 W 14th St, New York, NY 10011, United States",http://mamagaiam.com/,max@mamagaiam.com,
true,witch store,New York City,,,Lucero Astral Shop,"8062 89th Ave, Queens, NY 11421, United States",https://www.luceroastralshop.com/,info@luceroastralshop.comsales,
true,witch store,New York City,,,Goddess In Eden,"282 Bloomfield Ave, Verona, NJ 07044, United States",http://www.goddessineden.com/,GoddessinEden@comcast.netbottom,
